,City Name,City Number,Latitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
0,Mehamn,778707,71.0357,44.17,86,100,20.33
1,Bredasdorp,1015776,-34.5322,45.72,71,98,6.91
2,Ushuaia,3833367,-54.8,37.06,65,90,6.91
3,Ponta Delgada,3372783,37.7333,66.92,82,20,3.44
4,Yellowknife,6185377,62.456,70.92,60,75,1.01
5,Kaitangata,2208248,-46.2817,48.92,74,86,8.03
6,Lambaréné,2399888,-0.7001,72.66,82,66,4.45
7,Athabasca,5887916,54.7169,64.78,58,83,12.06
8,Albany,5106841,42.6001,68.32,82,53,6.67
9,Elko,5703673,41.0002,92.57,14,51,7.0
10,Kapaa,5848280,22.0752,78.64,81,75,4.0
11,Broome,5110365,42.2506,69.42,65,40,1.99
12,Champerico,3598787,14.3,91.9,71,34,5.37
13,Pangnirtung,6096551,66.1451,44.6,87,75,17.27
14,Puerto Ayora,3652764,-0.7393,73.54,91,98,8.99
15,Alberton,5883166,46.8168,62.51,95,99,13.4
16,New Norfolk,2155415,-42.7826,47.23,82,94,1.01
17,Bairiki Village,7601762,1.3292,86.0,70,20,4.61
18,Calderitas,3531816,18.55,86.11,79,75,11.5
19,Castro,3466704,-24.7911,50.5,60,6,2.33
20,Carauari,3664659,-4.8828,78.13,64,21,1.3
21,Beloha,1067565,-25.1667,71.83,59,67,7.67
22,Chui,3443061,-33.6971,48.56,77,9,1.86
23,Los Llanos de Aridane,2514651,28.6585,66.13,92,0,18.41
24,San Patricio,4726521,28.017,84.78,46,6,10.45
25,Piopio,2184564,-38.4667,58.42,95,89,6.4
26,Nanortalik,3421765,60.1432,43.61,99,100,7.16
27,Hithadhoo,1282256,-0.6,81.84,74,100,10.67
28,Severnoye,1492607,56.3491,60.91,85,57,3.85
29,Lubao,1705441,14.9167,77.2,89,100,10.45
30,Cherskiy,2126199,68.75,61.18,48,7,3.94
31,Guerrero Negro,4021858,27.9769,75.42,69,100,18.5
32,Corner Brook,5927969,48.9667,60.6,82,98,4.74
33,Vaini,4032243,-21.2,82.56,69,20,9.22
34,Butaritari,2110227,3.0707,82.98,75,29,12.44
35,Nelson Bay,2155562,-32.7167,47.8,71,62,1.99
36,Constitución,3893726,-35.3333,52.93,89,100,4.14
37,São João da Barra,3448903,-21.6403,67.87,79,100,7.23
38,Killybegs,2963295,54.6333,67.44,85,94,6.04
39,Upernavik,3418910,72.7868,43.09,80,71,5.03
40,Tiksi,2015306,71.6872,39.94,93,100,4.52
41,Manzanillo,3547867,20.3433,86.11,72,26,9.28
42,Yoichi,2129218,43.2039,71.96,77,100,1.88
43,Qaanaaq,3831208,77.484,38.17,99,100,11.92
44,Bengkulu,1649150,-3.8004,73.74,86,43,4.79
45,San Cristobal,3628473,7.7669,73.58,95,87,3.98
46,Punta Arenas,3874787,-53.15,37.51,87,90,11.5
47,Rikitea,4030556,-23.1203,72.95,60,21,14.97
48,Busselton,2075265,-33.65,48.04,74,67,7.43
49,Bluff,2206939,-46.6,44.8,67,84,11.41
50,Marathon,5261790,44.9,71.82,67,20,8.05
51,Halifax,6324729,44.6453,66.79,86,90,1.01
52,Kāranja,1267853,20.4833,74.41,95,100,11.86
53,Ovalle,3877918,-30.5983,61.23,57,86,1.92
54,Laguna,5364271,38.421,95.4,21,1,4.0
55,Alice Springs,2077895,-23.7,62.15,36,77,24.16
56,San Quintín,3984997,30.4833,74.8,72,69,15.05
57,Kulunda,1501460,52.566,59.85,74,0,7.47
58,Carnarvon,2074865,-24.8667,53.67,67,7,4.61
59,Coyhaique,3894426,-45.5752,49.95,71,75,3.44
60,Terney,2015352,45.0503,75.67,85,74,3.38
61,Cambé,3467978,-23.2758,66.88,30,0,4.61
62,Nome,5870133,64.5011,48.27,81,90,12.66
63,Saskylakh,2017155,71.9167,58.35,69,100,13.49
64,Ndélé,237379,8.4109,69.87,94,100,2.04
65,Maragogi,3395458,-9.0122,74.46,84,57,10.45
66,Manatí,4566137,18.4275,81.61,80,1,14.23
67,Hermanus,3366880,-34.4187,40.8,70,94,14.74
68,Lata,2738381,40.1629,60.71,95,24,3.85
69,Fortuna,5563839,40.5982,66.07,66,1,8.01
70,Klaksvík,2618795,62.2266,52.72,90,0,12.55
71,Avarua,4035715,-21.2078,80.65,83,7,10.36
72,Lázaro Cárdenas,4026082,17.9583,85.57,71,77,7.61
73,Mataura,6201424,-46.1927,44.47,97,100,2.39
74,Sarandë,363243,39.8756,78.19,62,0,5.82
75,Wewak,2083537,-3.5534,80.92,84,85,6.87
76,Cape Town,3369157,-33.9258,46.71,81,40,3.0
77,Arraial do Cabo,3471451,-22.9661,64.26,82,0,3.44
78,Port Alfred,964432,-33.5906,49.1,76,96,31.03
79,Clarksdale,4421935,34.2001,85.42,70,1,0.0
80,Port Elizabeth,964420,-33.918,44.89,81,90,27.63
81,Visby,2662689,57.6409,59.07,82,11,5.75
82,Chicama,3698359,-7.8447,64.94,75,16,7.54
83,Moyobamba,3694564,-6.05,70.18,78,62,1.72
84,Saint-Philippe,935215,-21.3585,69.39,72,64,14.25
85,Longyearbyen,2729907,78.2186,41.49,72,30,1.72
86,Alofi,4036284,-19.0595,78.69,78,75,14.97
87,Cockburn Town,3576994,21.4612,81.55,83,65,18.16
88,Mossamedes,3347019,-15.1961,64.17,84,0,0.76
89,Paralia Milatou,265127,35.3167,78.96,79,0,11.27
90,Paamiut,3421193,61.994,42.26,86,43,11.16
91,Tuktoyaktuk,6170031,69.4541,69.8,78,20,8.05
92,Hukuntsi,933726,-24.0,35.8,32,0,8.59
93,Kamenka,553766,51.3223,63.37,97,100,9.78
94,Maricá,3457708,-22.9194,67.37,76,100,7.63
95,Shimoda,1852357,34.6667,86.11,75,0,3.98
96,Kalemie,214974,-5.9475,69.73,54,0,2.62
97,Hualmay,3939761,-11.0964,64.96,79,18,10.56
98,Solnechnyy,2016307,50.7214,80.85,67,100,2.62
99,Sulangan,1685422,11.1373,83.88,69,100,22.26
100,North Bend,5742974,43.4065,68.38,64,1,21.85
101,Comodoro Rivadavia,3860443,-45.8667,53.46,71,0,4.61
102,Oistins,3373652,13.0667,82.49,74,40,18.41
103,Airai,1651810,-8.9266,58.82,66,26,2.8
104,Plettenberg Bay,964712,-34.0527,47.41,77,100,24.27
105,Celestún,3531368,20.8667,84.92,75,34,17.02
106,Saint George,5546220,37.1041,102.94,23,20,8.01
107,Sabang,1214026,5.8933,82.56,73,100,21.97
108,Beira,1052373,-19.8436,68.25,91,0,4.99
109,Redlands,5386754,34.0556,98.51,26,40,3.0
110,Uíge,2236568,-7.6087,65.01,62,0,3.94
111,Kavieng,2094342,-2.5744,82.56,77,98,8.05
112,Vila,7117100,42.0304,58.57,89,12,1.23
113,Port Angeles,5807212,48.1181,63.19,76,90,12.66
114,Tasiilaq,3424607,65.6145,39.54,98,100,7.23
115,Khatanga,2022572,71.9667,53.82,92,100,2.08
116,Hobart,2163355,-42.8794,48.94,78,75,1.99
117,Araouane,2460954,18.9048,98.89,27,87,15.08
118,Bambous Virieux,1106677,-20.3428,68.25,83,75,12.66
119,Bela,1276574,25.9333,84.69,78,100,0.56
120,Kutum,371745,14.2,75.02,60,100,4.97
121,Tortolì,2522890,39.9256,76.82,69,0,5.75
122,Thompson,6165406,55.7435,75.36,50,90,4.61
123,Buta,217570,2.7858,73.33,67,93,2.1
124,Ponta do Sol,2264557,32.6667,71.02,82,0,4.88
125,Dikson,1507390,73.5069,49.17,68,100,17.02
126,Beringovskiy,2126710,63.05,54.97,64,92,4.56
127,Clyde River,5924351,70.4692,39.43,87,90,10.36
128,Port Macquarie,2152659,-31.4333,49.8,55,5,6.98
129,Shenjiamen,1795632,29.9576,79.02,87,16,21.97
130,Esperance,2071860,-33.8667,49.84,69,100,18.39
131,Abancay,3948642,-13.6339,59.22,69,69,5.99
132,Aklavik,5882953,68.2191,84.2,45,40,6.91
133,Liverpool,2644210,53.4106,68.58,81,0,4.61
134,Hofn,2630299,64.2539,59.52,66,5,4.23
135,Verkhoyansk,2013465,67.5447,61.95,53,96,6.69
136,Srednekolymsk,2121025,67.45,62.56,63,86,5.12
137,Ures,3980782,29.4333,98.94,28,18,11.18
138,Okhotsk,2122605,59.3833,56.05,95,100,6.49
139,Calvinia,3369174,-31.4707,36.5,81,96,15.64
140,Hilo,5855927,19.7297,77.63,83,40,11.5
141,Chokurdakh,2126123,70.6333,46.44,69,90,7.0
142,George Town,1735106,5.4112,81.32,88,20,3.0
143,Kabare,215605,-2.4683,63.73,60,79,1.07
144,Geraldton,2070998,-28.7667,55.81,94,75,3.44
145,Sinjār,448149,36.3209,83.53,38,0,8.59
146,Vardø,777019,70.3705,44.46,89,100,21.97
147,Camaná,3945985,-16.6228,62.31,81,3,4.59
148,Beijing,1816670,39.9075,76.89,96,100,3.62
149,Katsuura,2112309,35.1333,81.19,75,1,4.81
150,Souillac,933995,-20.5167,68.38,83,75,12.66
151,Porbandar,1259395,21.6422,82.45,84,100,23.6
152,Semīrom,116406,31.4167,68.13,25,8,2.06
153,Karpogory,552256,64.0019,43.68,71,42,4.45
154,Nouadhibou,2377457,20.931,69.78,83,0,17.27
155,Cascais,2269594,38.6979,63.36,77,1,7.0
156,Rafai,236524,4.95,68.23,92,100,1.88
157,Kolondiéba,2454934,11.0882,78.17,74,52,7.29
158,Departamento de Maldonado,3441890,-34.6667,47.59,78,51,4.18
159,Dunedin,2191562,-45.8742,50.81,63,96,13.0
160,Grindavik,3416888,63.8424,53.02,100,90,10.36
161,Along,1278969,28.1667,74.89,98,84,1.21
162,Shingū,1847947,33.7333,80.91,77,100,8.68
163,East London,1006984,-33.0153,51.46,63,52,22.97
164,Merrill,5262680,45.1805,71.89,63,40,9.22
165,Horta,3372988,38.5333,67.64,77,40,4.61
166,Mar del Plata,3430863,-38.0023,52.38,55,0,11.01
167,Chifeng,2038067,42.2683,75.43,67,100,5.46
168,Faya,110690,18.3851,61.32,83,85,10.89
169,Kasulu,158214,-4.5767,65.26,49,0,1.14
170,Vitim,2013375,59.4511,69.48,62,11,1.21
171,Mokokchūng,1262843,26.3333,64.51,98,89,3.85
172,Marsabit,187585,2.3284,65.07,64,39,21.43
173,São Filipe,3374210,14.8961,76.6,85,100,3.69
174,Loralai,1171868,30.3705,73.54,46,90,4.97
175,Huatulco,3517251,15.8436,90.86,61,41,4.34
176,Belaya Gora,2126785,68.5333,58.68,59,100,8.1
177,Marawi,1701054,7.9986,70.65,82,100,5.93
178,Hong Kong,1819729,22.2855,81.36,90,83,1.01
179,Barrow,5880054,71.2906,37.42,94,90,18.41
180,Poltár,3058083,48.4309,57.61,87,12,4.56
181,Dauriya,2025099,49.9333,73.26,78,22,12.28
182,Port Hedland,2063042,-20.3167,62.65,100,26,3.44
183,Fairbanks,5861897,64.8378,73.63,47,1,0.0
184,Corinth,259289,37.9407,82.6,66,43,3.27
185,Atuona,4020109,-9.8,77.59,68,74,17.94
186,Nikolskoye,546105,59.7035,50.97,77,9,5.95
187,Coupar Angus,2652236,56.5455,61.43,91,15,1.99
188,Calabozo,3647444,8.9242,79.65,73,58,5.32
189,Riyadh,108410,24.6877,100.54,30,83,9.51
190,Gouyave,3580279,12.1646,81.37,78,40,16.11
191,Santa Isabel,3450188,-23.3156,57.76,56,55,0.22
192,Hannibal,4389418,39.7084,85.77,48,1,0.0
193,Oranjestad,3577154,12.524,84.15,74,20,20.71
194,The Valley,3573374,18.217,84.29,74,20,13.8
195,Kapit,1737185,2.0167,73.18,97,100,1.39
196,Fukuechō,1863997,32.6881,79.5,79,100,12.33
197,Itapora,3464460,-22.0799,63.7,24,1,6.29
198,Biryusinsk,1510041,55.9634,59.68,97,69,3.13
199,Saint Paul Harbor,5866583,57.79,54.86,91,93,5.82
200,Cayenne,3382160,4.9333,83.08,79,0,3.0
201,Vestmannaeyjar,3412093,63.4427,53.64,91,99,3.87
202,Mtimbira,152793,-8.7833,73.54,65,95,1.39
203,Yaan,2338660,7.3833,72.45,94,99,6.04
204,Tateyama,1850523,34.9833,81.1,76,1,4.27
205,Dingle,1714733,10.9995,78.53,84,100,11.61
206,Anadyr,2127202,64.75,57.0,67,0,6.71
207,Taoudenni,2450173,22.6783,106.75,8,77,6.8
208,Jamestown,5122534,42.097,69.69,57,20,4.0
209,Yangi Marg`ilon,1513491,40.4272,72.32,56,1,2.3
210,Port Blair,1259385,11.6667,80.96,85,100,22.12
211,Cimarron Hills,5417041,38.8586,80.47,37,75,11.5
212,Meïganga,2227402,6.5167,65.79,93,97,2.24
213,Palmer,4946620,42.1584,75.54,61,37,1.99
214,Talnakh,1490256,69.4865,56.43,62,100,6.82
215,Mount Gambier,2156643,-37.8333,42.71,87,100,8.05
216,Kudahuvadhoo,1337607,2.6708,82.31,76,100,13.67
217,Clarence Town,2171465,-32.5833,47.44,60,9,3.62
218,Vila Franca do Campo,3372472,37.7167,66.61,78,29,7.11
219,Kuytun,2021093,54.3419,61.27,94,49,2.37
220,Kavaratti,1267390,10.5669,82.08,81,100,22.48
221,Bolotnoye,1509819,55.6717,58.77,82,1,2.3
222,Certeze,682282,47.9,59.77,89,97,2.93
223,Grand Gaube,934479,-20.0064,66.38,81,72,5.01
224,Kruisfontein,986717,-34.0033,41.88,70,84,30.62
225,Te Anau,2181625,-45.4167,44.04,87,76,1.34
226,Bethel,5282297,41.3712,74.98,79,10,7.25
227,Lebu,3883457,-37.6167,51.67,94,100,4.09
228,Mishelevka,2019945,52.8575,59.63,80,0,5.3
229,Sampit,1628884,-2.5333,72.82,98,99,2.46
230,Khovd,1516048,48.0056,68.47,36,51,3.11
231,Katobu,1640972,-4.9408,73.02,95,57,0.65
232,Lorengau,2092164,-2.0226,83.17,74,71,3.62
233,Methven,2186895,-43.6333,42.03,93,100,7.47
234,Cabo San Lucas,3985710,22.8909,94.39,63,28,11.52
235,Auray,3036059,47.6703,72.59,76,35,10.51
236,Acapulco de Juárez,3533462,16.8634,86.65,72,38,6.69
237,Soyo,2236967,-6.1349,70.88,85,0,5.19
238,Tumsar,1254080,21.3833,75.83,97,100,2.66
239,Puerto Ayacucho,3629710,5.6639,77.16,88,45,4.25
240,Kaniama,214389,-7.5667,69.42,34,3,4.63
241,Willemstad,3513090,12.1084,84.11,84,20,10.36
242,Ribeira Grande,3372707,38.5167,68.4,77,40,4.61
243,Nong Phai,1608191,15.9903,73.11,93,99,3.09
244,Puerto Carreño,3671519,6.189,78.01,87,68,4.14
245,Muisne,3653967,0.6,76.78,84,34,10.18
246,Sittwe,1295765,20.15,80.17,91,100,25.84
247,Krasnoborsk,542423,61.5598,46.71,72,62,3.49
248,Rognan,3141548,67.0953,50.7,95,100,9.19
249,Leningradskiy,2123814,69.3833,38.26,76,100,5.14
250,Urengoy,1488414,65.9667,64.67,77,100,19.04
251,Mason City,4866445,43.1536,82.92,79,48,7.38
252,Ust'-Barguzin,2013986,53.45,55.89,95,100,0.74
253,Neyyāttinkara,1261470,8.4,82.26,89,99,13.15
254,Hamilton,4513583,39.1834,79.34,63,20,1.01
255,Lukiv,702612,51.0521,62.19,82,94,7.47
256,Rawson,3839307,-43.3002,54.63,62,100,17.34
257,Baruun-Urt,2032614,46.6806,76.37,58,100,10.42
258,Liaocheng,1803834,36.4439,72.7,97,100,5.39
259,Alihe,2038665,50.5667,77.52,85,31,2.71
260,Coahuayana Viejo,4013679,18.7333,87.57,70,84,5.21
261,Listvyanskiy,1500468,54.4399,53.19,87,0,4.9
262,Umluj,100926,25.0213,85.71,77,61,11.23
263,Sri Aman,1735799,1.2376,77.05,88,100,4.61
264,Médéa,2488835,36.2642,68.45,22,0,5.35
265,Gela,6541964,37.0803,78.08,64,1,3.22
266,Ancud,3899695,-41.8697,51.33,85,100,12.26
267,San Lorenzo,3437056,-25.3333,59.59,67,0,1.99
268,Oussouye,2246901,12.485,84.38,80,100,8.77
269,Ratangarh,1258366,28.0833,83.8,72,90,18.16
270,College,5859699,64.8569,73.6,48,1,0.0
271,Cidreira,3466165,-30.1811,54.43,65,0,0.72
272,Taltal,3870243,-25.4,59.25,70,35,6.87
273,Province of Terni,3165770,42.6833,66.58,67,23,1.77
274,Maniitsoq,3421982,65.4167,45.09,79,23,3.06
275,Mahébourg,934322,-20.4081,68.29,83,75,12.66
276,Montepuez,1037125,-13.1256,63.37,98,16,3.91
277,Novoagansk,1497210,61.9449,63.9,78,99,9.57
